Name,Center_X,Center_Y
Andhra Pradesh,-20,-140.06
Arunachal Pradesh,230.75,135.53
Assam,195.5,90.66
Bihar,85.56,75.06
Chhattisgarh,30.41,0
Goa,-132.06,-125.53
Gujarat,-170.75,20.31
Haryana,-80,145.75
Himachal Pradesh,-40,200.91
Jharkhand,72.75,44
Karnataka,-100.09,-150.5
Kerala,-90.09,-228.91
Madhya Pradesh,-55,20.31
Maharashtra,-110.81,-50.09
Manipur,238.75,60.41
Meghalaya,184.78,72.03
Mizoram,229.84,35.34
Nagaland,255.38,90.66
Odisha,60.56,-40.03
Punjab,-110.81,165.56
Rajasthan,-130.06,90.81
Sikkim,113.81,117.56
Tamil Nadu,-40,-220.63
Telangana,-35,-90
Tripura,175.31,45.5
Uttar Pradesh,0,100.78
Uttarakhand,-10,160.28
West Bengal,133.06,21.09
Andaman & Nicobar Islands,209.38,-220.63
Chandigarh,-60.09,170.66
Dadra & Nagar Haveli & (Daman & Diu),-250,-30
Delhi,-68.16,135.03
Jammu & Kashmir,-100.00,240
Ladakh,-55,260.31
Lakshadweep,-100.75,-193.75
Puducherry,21.88,-217.19
